日期,概念名称,成分股数量,网址,代码
2017-09-14,燃料乙醇,5,http://q.10jqka.com.cn/gn/detail/code/305790/,305790
2017-07-05,无人零售,18,http://q.10jqka.com.cn/gn/detail/code/304756/,304756
2017-06-13,MSCI概念,574,http://q.10jqka.com.cn/gn/detail/code/303944/,303944
2017-06-02,特色小镇,35,http://q.10jqka.com.cn/gn/detail/code/302674/,302674
2017-04-02,雄安新区,187,http://q.10jqka.com.cn/gn/detail/code/302182/,302182
2017-02-22,钴,28,http://q.10jqka.com.cn/gn/detail/code/302174/,302174
2016-12-15,共享单车,10,http://q.10jqka.com.cn/gn/detail/code/302166/,302166
2016-09-29,网约车,20,http://q.10jqka.com.cn/gn/detail/code/302142/,302142
2016-09-11,人民币贬值受益,346,http://q.10jqka.com.cn/gn/detail/code/301726/,301726
2016-09-10,可燃冰,12,http://q.10jqka.com.cn/gn/detail/code/300277/,300277
2016-09-06,燃料电池,162,http://q.10jqka.com.cn/gn/detail/code/300316/,300316
2016-09-06,区块链,237,http://q.10jqka.com.cn/gn/detail/code/302045/,302045
2016-08-22,蚂蚁金服概念,55,http://q.10jqka.com.cn/gn/detail/code/302150/,302150
2016-08-06,债转股(AMC概念),52,http://q.10jqka.com.cn/gn/detail/code/302046/,302046
2016-06-08,智能音箱,22,http://q.10jqka.com.cn/gn/detail/code/302131/,302131
2016-03-08,人工智能,339,http://q.10jqka.com.cn/gn/detail/code/302035/,302035
2016-02-22,电子竞技,31,http://q.10jqka.com.cn/gn/detail/code/302027/,302027
2016-02-14,腾讯概念,111,http://q.10jqka.com.cn/gn/detail/code/302010/,302010
2016-01-21,数字货币,70,http://q.10jqka.com.cn/gn/detail/code/301997/,301997
2015-10-21,智能物流,79,http://q.10jqka.com.cn/gn/detail/code/301797/,301797
2015-10-08,青蒿素,10,http://q.10jqka.com.cn/gn/detail/code/301794/,301794
2015-09-08,杭州亚运会,69,http://q.10jqka.com.cn/gn/detail/code/301783/,301783
2015-07-24,中船系,10,http://q.10jqka.com.cn/gn/detail/code/301713/,301713
2015-06-10,虚拟现实,228,http://q.10jqka.com.cn/gn/detail/code/301699/,301699
2015-04-16,智能交通,96,http://q.10jqka.com.cn/gn/detail/code/300440/,300440
2015-03-25,互联网医疗,95,http://q.10jqka.com.cn/gn/detail/code/300444/,300444
2015-01-07,深股通,900,http://q.10jqka.com.cn/gn/detail/code/301636/,301636
2014-12-23,农村电商,38,http://q.10jqka.com.cn/gn/detail/code/301632/,301632
2014-12-19,广东自贸区,23,http://q.10jqka.com.cn/gn/detail/code/301630/,301630
2014-12-11,互联网保险,18,http://q.10jqka.com.cn/gn/detail/code/301628/,301628
2014-12-04,地下管网,62,http://q.10jqka.com.cn/gn/detail/code/301623/,301623
2014-12-04,PPP概念,170,http://q.10jqka.com.cn/gn/detail/code/301624/,301624
2014-10-28,壳资源,71,http://q.10jqka.com.cn/gn/detail/code/301610/,301610
2014-10-23,体育产业,76,http://q.10jqka.com.cn/gn/detail/code/301605/,301605
2014-10-08,玉米,20,http://q.10jqka.com.cn/gn/detail/code/301572/,301572
2014-10-08,金属铜,35,http://q.10jqka.com.cn/gn/detail/code/301577/,301577
2014-10-08,金属锌,20,http://q.10jqka.com.cn/gn/detail/code/301582/,301582
2014-09-24,医药电商,56,http://q.10jqka.com.cn/gn/detail/code/301565/,301565
2014-09-23,跨境电商,140,http://q.10jqka.com.cn/gn/detail/code/301564/,301564
2014-08-28,阿里巴巴概念,107,http://q.10jqka.com.cn/gn/detail/code/301558/,301558
2014-07-04,细胞免疫治疗,29,http://q.10jqka.com.cn/gn/detail/code/301543/,301543
2014-07-02,中韩自贸区,11,http://q.10jqka.com.cn/gn/detail/code/301541/,301541
2014-06-13,首发新股,26,http://q.10jqka.com.cn/gn/detail/code/301531/,301531
2014-05-20,国产软件,202,http://q.10jqka.com.cn/gn/detail/code/301524/,301524
2014-05-19,集成电路概念,187,http://q.10jqka.com.cn/gn/detail/code/301522/,301522
2014-05-13,高铁,84,http://q.10jqka.com.cn/gn/detail/code/301518/,301518
2014-04-29,金属镍,26,http://q.10jqka.com.cn/gn/detail/code/301511/,301511
2014-04-26,医疗器械概念,283,http://q.10jqka.com.cn/gn/detail/code/301505/,301505
2014-04-14,白酒概念,47,http://q.10jqka.com.cn/gn/detail/code/301496/,301496
2014-04-14,啤酒概念,18,http://q.10jqka.com.cn/gn/detail/code/301497/,301497
2014-04-12,养老概念,98,http://q.10jqka.com.cn/gn/detail/code/301494/,301494
2014-04-11,粤港澳大湾区,177,http://q.10jqka.com.cn/gn/detail/code/301491/,301491
2014-01-07,工业大麻,49,http://q.10jqka.com.cn/gn/detail/code/301477/,301477
2013-12-31,汽车电子,200,http://q.10jqka.com.cn/gn/detail/code/301471/,301471
2013-12-24,航空发动机,41,http://q.10jqka.com.cn/gn/detail/code/301470/,301470
2013-12-11,华为概念,617,http://q.10jqka.com.cn/gn/detail/code/301459/,301459
2013-11-26,摘帽,62,http://q.10jqka.com.cn/gn/detail/code/301455/,301455
2013-10-24,口罩,161,http://q.10jqka.com.cn/gn/detail/code/301414/,301414
2013-09-12,信托概念,25,http://q.10jqka.com.cn/gn/detail/code/301377/,301377
2013-09-09,一带一路,343,http://q.10jqka.com.cn/gn/detail/code/301365/,301365
2013-07-30,染料,14,http://q.10jqka.com.cn/gn/detail/code/301292/,301292
2013-07-26,无人驾驶,125,http://q.10jqka.com.cn/gn/detail/code/301286/,301286
2013-07-24,小米概念,193,http://q.10jqka.com.cn/gn/detail/code/301278/,301278
2013-07-22,参股银行,140,http://q.10jqka.com.cn/gn/detail/code/301270/,301270
2013-07-17,机器视觉,86,http://q.10jqka.com.cn/gn/detail/code/301258/,301258
2013-07-17,百度概念,87,http://q.10jqka.com.cn/gn/detail/code/301259/,301259
2013-07-16,互联网彩票,15,http://q.10jqka.com.cn/gn/detail/code/301249/,301249
2013-07-16,眼科医疗,40,http://q.10jqka.com.cn/gn/detail/code/301252/,301252
2013-07-11,福建自贸区,19,http://q.10jqka.com.cn/gn/detail/code/301236/,301236
2013-07-10,天津自贸区,14,http://q.10jqka.com.cn/gn/detail/code/301229/,301229
2013-05-30,冷链物流,122,http://q.10jqka.com.cn/gn/detail/code/301179/,301179
2013-05-29,智能穿戴,68,http://q.10jqka.com.cn/gn/detail/code/301175/,301175
2013-05-24,人脸识别,66,http://q.10jqka.com.cn/gn/detail/code/301166/,301166
2013-05-14,上海自贸区,45,http://q.10jqka.com.cn/gn/detail/code/301128/,301128
2013-05-07,化肥,52,http://q.10jqka.com.cn/gn/detail/code/301104/,301104
2013-05-07,金属回收,22,http://q.10jqka.com.cn/gn/detail/code/301107/,301107
